id,class_name,start_time,start_time_tag,duration_value,duration_tag,health_club_name,area,address,attendance_mode,sport_catalog,muscle_group,audience_type
c57,WOD,2022-10-14T18:30:00+02:00,Afternoon,60,Normal,OutdoorGym Amsterdam,West,Jan van Galenstraat 315 1056AW Amsterdam,Offline,Bootcamp,Full body,Intermediate
c58,Bodyshape,2022-10-14T18:30:00+02:00,Afternoon,60,Normal,Only4Ladies,Oost,Tweede Oosterparkstraat 79A 1091 HX Amsterdam,Offline,"Bbb, Body shape, Bootcamp, Boxing, Other, Pilates, Steps, Yoga",Full body,Beginner
c59,Massage Intense,2022-10-14T18:30:00+02:00,Afternoon,30,Short,Relax Lounge,Centrum,Kerkstraat 163 1017 GG Amsterdam,Offline,"Fitness, Mindfulness, Other, Wellness",Full body,Beginner
c60,Zumba met Nevita,2022-10-14T18:30:00+02:00,Afternoon,60,Normal,Anytime Fitness Zuidas,Zuid,Wijenburg 90A 1082 VW Amsterdam,Offline,"Barre, Boxing, Crossfit, Dance, Fitness, Other",Full body,Intermediate
c61,Massage,2022-10-14T18:30:00+02:00,Afternoon,20,Short,House of Seiyou,Zuid,Cornelis Schuytstraat 46A 1071 JL Amsterdam,Offline,Wellness,Full body,Beginner
c62,Deep Relax Session,2022-10-14T18:30:00+02:00,Afternoon,75,Long,Natural Flow Yoga,Zuid-oost,Lemelerbergweg 32 1101 AH Amsterdam,Offline,"Pilates, Yin yoga, Yoga",Full body,Beginner
c63,Contemporary Jazz Beginner/Intermediate,2022-10-14T18:30:00+02:00,Afternoon,75,Long,Chass̩ Dance Studios,West,Chass̩straat 64  1057 JJ Amsterdam,Offline,Dance,Full body,Beginner
c64,Femme Confidence Heels,2022-10-14T18:30:00+02:00,Afternoon,60,Normal,Chass̩ Dance Studios,West,Chass̩straat 64  1057 JJ Amsterdam,Offline,Dance,Full body,Beginner
c65,mma/BJJ,2022-10-14T18:30:00+02:00,Afternoon,75,Long,Fight District,Centrum,Danzigerbocht 45A 1013 AM Amsterdam,Offline,"Bbb, Boxing, Hiit, Kickboxing, Other","Arms, Chest, Legs",Beginner
c66,SPINNING,2022-10-14T18:30:00+02:00,Afternoon,60,Normal,Health Club Jordaan,Centrum,Eerste Rozendwarsstraat 10 1016 PC Amsterdam,Offline,"Dance, Other","Booty, Legs",Advanced
c67,Ashtanga yoga,2022-10-14T18:30:00+02:00,Afternoon,75,Long,Yoga Spot Olympisch Stadion,Zuid,Laan der Hesperiden 142Olympic Amsterdam 1076 DX Amsterdam,Offline,"Mindfulness, Other, Pilates, Yoga",Full body,Beginner
c68,VeGym Training,2022-10-14T18:30:00+02:00,Afternoon,30,Short,Vondelgym Zuid - Fitness,Zuid,Eduard van Beinumstraat 110 1077 ZZ Amsterdam,Offline,"Bootcamp, Boxing, Crossfit, Fitness, Fun, Hiit, Kickboxing, Martial arts, Mindfulness, Other, Running",Full body,Beginner
c69,Aerial Yoga,2022-10-14T18:30:00+02:00,Afternoon,75,Long,TULA Yoga,West,Bos en Lommerplein 175 1055 AD Amsterdam,Offline,Other,Full body,Beginner
c70,Zelfstandig boulderen,2022-10-14T19:00:00+02:00,Evening,120,Long,Mountain Network Amsterdam,West,Erasmusgracht 297 1061 MD Amsterdam,Offline,"Bouldering, Other",Legs,Beginner
c71,Vrij trainen,2022-10-14T19:00:00+02:00,Evening,60,Normal,Finally Fit,Oost,Oosterparkstraat 85 1091HZ Amsterdam,Offline,"Bbb, Boxing, Crossfit, Hiit, Kickboxing, Other, Yoga",Full body,Beginner
c72,Techniek- gemengd,2022-10-14T19:00:00+02:00,Evening,60,Normal,Vos Gym Amsterdam,West,Van Slingelandtstraat 33a 1051CG Amsterdam,Offline,"Boxing, Hiit",Legs,Beginner
